datetime open high low close turnover/amount(index)
1998-04-06 1291.60 1306.38 1286.43 1306.38 10166655100
1998-04-07 1308.56 1310.29 1296.54 1303.14 8076861400
1998-04-08 1303.41 1322.83 1302.41 1322.79 10762974600
1998-04-09 1326.44 1328.79 1288.89 1297.22 11900294800
1998-04-10 1294.61 1311.53 1293.58 1311.51 9246628400
1998-04-13 1319.94 1326.30 1311.83 1318.75 10267522400
1998-04-14 1318.27 1320.91 1304.38 1313.72 6656103400
1998-04-15 1314.17 1324.71 1314.07 1324.71 6992299300
1998-04-16 1324.04 1326.42 1312.57 1316.25 7941408600
1998-04-17 1311.54 1311.73 1291.08 1298.10 7251757400
1998-04-20 1292.16 1302.98 1286.58 1296.01 6776031000
1998-04-21 1296.77 1307.85 1295.06 1305.22 5654055200
1998-04-22 1307.83 1333.07 1307.83 1332.18 7337908900
1998-04-23 1337.49 1340.25 1321.04 1324.56 7752375400
1998-04-24 1324.45 1331.86 1313.61 1315.17 7782672900
1998-04-27 1314.35 1318.80 1303.48 1310.38 7534817800
1998-04-28 1315.35 1333.09 1315.33 1332.99 7375241700
1998-04-29 1337.89 1341.58 1328.56 1332.50 6369540100
1998-04-30 1336.01 1343.46 1335.55 1343.45 6900202700
1998-05-04 1353.06 1355.52 1345.36 1352.93 7962726500
1998-05-05 1355.05 1356.06 1346.59 1352.52 6171311800
1998-05-06 1352.72 1355.66 1341.81 1348.41 7138631500
1998-05-07 1348.89 1352.55 1326.65 1327.87 7922400800
1998-05-08 1324.74 1357.60 1324.72 1357.60 8247828700
1998-05-11 1367.24 1368.03 1351.59 1354.61 10849202700
1998-05-12 1358.96 1360.06 1342.73 1349.65 7079641500
1998-05-13 1351.18 1369.30 1351.00 1369.26 8644810200
1998-05-14 1373.17 1376.30 1360.89 1367.13 8758129000
1998-05-15 1373.43 1379.13 1361.84 1368.09 7754799500
1998-05-18 1373.67 1376.38 1360.47 1368.18 5862340600
1998-05-19 1370.68 1372.87 1355.54 1362.29 5012031900
1998-05-20 1362.69 1365.10 1352.17 1357.43 6168455200
1998-05-21 1356.96 1367.72 1350.26 1366.66 5858890000
1998-05-22 1371.37 1379.89 1370.72 1375.82 7875853400
1998-05-25 1380.13 1389.66 1376.20 1389.37 9717718200
1998-05-26 1392.75 1394.44 1383.76 1390.42 8669719700
1998-05-27 1393.74 1399.54 1390.55 1399.54 8857819000
1998-05-28 1402.85 1405.58 1392.90 1397.90 7858011500
1998-05-29 1402.68 1411.35 1402.02 1411.21 9205402900
1998-06-01 1418.35 1420.55 1411.06 1415.58 9925499100
1998-06-02 1419.22 1419.58 1402.63 1413.08 7266593800
1998-06-03 1415.02 1421.12 1413.11 1420.00 7012815200
1998-06-04 1420.99 1422.98 1402.75 1406.30 7121954900
1998-06-05 1404.08 1414.36 1390.63 1408.61 7804385600
1998-06-08 1411.96 1415.18 1401.06 1403.73 6748413900
1998-06-09 1400.35 1400.35 1357.46 1369.65 6894227000
1998-06-10 1367.74 1377.83 1359.39 1368.30 5648767400
1998-06-11 1367.56 1371.15 1346.07 1347.68 4017341500
1998-06-12 1373.11 1383.47 1365.08 1383.39 5286896300
1998-06-15 1385.33 1386.98 1359.88 1365.34 5746006100
1998-06-16 1362.59 1362.59 1323.53 1348.59 5688431800
1998-06-17 1349.00 1356.66 1344.44 1348.94 4693476100
1998-06-18 1352.23 1372.12 1352.23 1370.68 4574002300
1998-06-19 1376.19 1392.88 1376.19 1392.88 5865710700
1998-06-22 1400.47 1401.51 1392.06 1399.36 7335549100
1998-06-23 1398.24 1398.71 1385.45 1397.96 7194498900
